timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1671720819598,2690,POST SELLER REGISTER,201,Created,NormalTest 1-1,text,true,,606,1302,2,2,https://market-final-project.herokuapp.com/auth/register,2684,0,2016
1671720820019,2283,POST SELLER REGISTER,201,Created,NormalTest 1-2,text,true,,606,1274,2,2,https://market-final-project.herokuapp.com/auth/register,2277,0,1626
1671720822344,419,POST SELLER LOGIN,201,Created,NormalTest 1-1,text,true,,568,352,2,2,https://market-final-project.herokuapp.com/auth/login,419,0,0
1671720822344,425,POST SELLER LOGIN,201,Created,NormalTest 1-2,text,true,,568,352,2,2,https://market-final-project.herokuapp.com/auth/login,425,0,0
1671720822764,5,POST SELLER PRODUCT,Non HTTP response code: java.io.FileNotFoundException,Non HTTP response message: D:\KERJA\Belajar\Binar Bootcamp\praktikum\Jmeter\Final Project\teh.png (The system cannot find the path specified),NormalTest 1-1,text,false,,2558,0,2,2,https://market-final-project.herokuapp.com/seller/product,0,0,0
1671720822770,2,POST SELLER PRODUCT,Non HTTP response code: java.io.FileNotFoundException,Non HTTP response message: D:\KERJA\Belajar\Binar Bootcamp\praktikum\Jmeter\Final Project\teh.png (The system cannot find the path specified),NormalTest 1-2,text,false,,2558,0,2,2,https://market-final-project.herokuapp.com/seller/product,0,0,0
1671720822773,1781,GET SELLER PRODUCT,200,OK,NormalTest 1-2,text,true,,276,408,2,2,https://market-final-project.herokuapp.com/seller/product,1780,0,1407
1671720822771,1797,GET SELLER PRODUCT,200,OK,NormalTest 1-1,text,true,,276,408,2,2,https://market-final-project.herokuapp.com/seller/product,1797,0,1409
1671720824554,364,GET SELLER PRODUCT ID,400,Bad Request,NormalTest 1-2,text,false,,384,419,2,2,https://market-final-project.herokuapp.com/seller/product/idNotFound,364,0,0
1671720824568,364,GET SELLER PRODUCT ID,400,Bad Request,NormalTest 1-1,text,false,,384,419,2,2,https://market-final-project.herokuapp.com/seller/product/idNotFound,364,0,0
1671720824919,349,DELETE SELLER PRODUCT ID,400,Bad Request,NormalTest 1-2,text,false,,384,441,2,2,https://market-final-project.herokuapp.com/seller/product/idNotFound,349,0,0
